,run,FolderName,Env,SampleID,Bat,Cow,Human,Unknown,Bat_std,Cow_std,Human_std,Unknown_std
3,4,Bat_1Sources_DrawNo5_r4,Bat_1Sources_DrawNo5,Bat-poo-3,0.0031,0.0,0.0,0.9969,0.0014106735979665,0.0,0.0,0.0014106735979665
0,5,Bat_1Sources_DrawNo5_r5,Bat_1Sources_DrawNo5,Bat-poo-6,0.0034,0.0,0.0,0.9966000000000002,0.0013928388277184,0.0,0.0,0.0013928388277184
1,5,Bat_1Sources_DrawNo5_r5,Bat_1Sources_DrawNo5,Bat-poo-5,0.0465499999999999,5e-05,0.0,0.9534,0.0080822336021671,0.00015,0.0,0.0079962491206815
2,5,Bat_1Sources_DrawNo5_r5,Bat_1Sources_DrawNo5,Bat-poo-4,0.00115,0.0,0.0,0.99885,0.000776208734813,0.0,0.0,0.0007762087348129
3,5,Bat_1Sources_DrawNo5_r5,Bat_1Sources_DrawNo5,Bat-poo-3,0.0034,0.0,0.0,0.9966000000000002,0.0015620499351813,0.0,0.0,0.0015620499351813
0,1,Bat_1Sources_DrawNo6_r1,Bat_1Sources_DrawNo6,Bat-poo-6,0.3798,5e-05,0.0,0.62015,0.0043255057507764,0.00015,0.0,0.0042722944655067
1,1,Bat_1Sources_DrawNo6_r1,Bat_1Sources_DrawNo6,Bat-poo-5,0.0094999999999999,0.0,0.0,0.9905,0.0012845232578665,0.0,0.0,0.0012845232578665
2,1,Bat_1Sources_DrawNo6_r1,Bat_1Sources_DrawNo6,Bat-poo-4,0.8457500000000001,0.0,0.0,0.15425,0.0004609772228646,0.0,0.0,0.0004609772228646
3,1,Bat_1Sources_DrawNo6_r1,Bat_1Sources_DrawNo6,Bat-poo-C,0.0482499999999999,0.0,0.0,0.95175,0.0016770509831248,0.0,0.0,0.0016770509831248
0,2,Bat_1Sources_DrawNo6_r2,Bat_1Sources_DrawNo6,Bat-poo-6,0.3813,0.0,0.0,0.6187,0.0051390660630118,0.0,0.0,0.0051390660630118
1,2,Bat_1Sources_DrawNo6_r2,Bat_1Sources_DrawNo6,Bat-poo-5,0.0099,0.0,0.0,0.9901000000000002,0.0012609520212918,0.0,0.0,0.0012609520212918
2,2,Bat_1Sources_DrawNo6_r2,Bat_1Sources_DrawNo6,Bat-poo-4,0.8452,0.0,5.000000000000001e-05,0.15475,0.0008717797887081,0.0,0.00015,0.0008139410298049
3,2,Bat_1Sources_DrawNo6_r2,Bat_1Sources_DrawNo6,Bat-poo-C,0.0490499999999999,0.0,0.0,0.95095,0.0018364367672206,0.0,0.0,0.0018364367672207
0,3,Bat_1Sources_DrawNo6_r3,Bat_1Sources_DrawNo6,Bat-poo-6,0.38005,0.0,0.0,0.61995,0.0065247605320042,0.0,0.0,0.0065247605320042
1,3,Bat_1Sources_DrawNo6_r3,Bat_1Sources_DrawNo6,Bat-poo-5,0.0093499999999999,0.0,0.0,0.99065,0.0005937171043518,0.0,0.0,0.0005937171043518
2,3,Bat_1Sources_DrawNo6_r3,Bat_1Sources_DrawNo6,Bat-poo-4,0.84515,5e-05,0.0,0.1548,0.00055,0.00015,0.0,0.0006
3,3,Bat_1Sources_DrawNo6_r3,Bat_1Sources_DrawNo6,Bat-poo-C,0.0481,0.0001,0.0,0.9518,0.0026153393661244,0.0002,0.0,0.0026944387170614
0,4,Bat_1Sources_DrawNo6_r4,Bat_1Sources_DrawNo6,Bat-poo-6,0.37705,5e-05,0.0,0.6229,0.0075314341263799,0.00015,0.0,0.0074859869088851
1,4,Bat_1Sources_DrawNo6_r4,Bat_1Sources_DrawNo6,Bat-poo-5,0.00965,5e-05,0.0,0.9903,0.0007433034373659,0.00015,0.0,0.0007141428428542
2,4,Bat_1Sources_DrawNo6_r4,Bat_1Sources_DrawNo6,Bat-poo-4,0.8452999999999999,0.0,0.0,0.1547,0.0009797958971132,0.0,0.0,0.0009797958971132
3,4,Bat_1Sources_DrawNo6_r4,Bat_1Sources_DrawNo6,Bat-poo-C,0.0486499999999999,5e-05,0.0,0.9513,0.0016740669042783,0.00015,0.0,0.0017492855684535
0,5,Bat_1Sources_DrawNo6_r5,Bat_1Sources_DrawNo6,Bat-poo-6,0.37955,5e-05,0.0,0.6204000000000001,0.004552197271648,0.00015,0.0,0.0045321076774498
1,5,Bat_1Sources_DrawNo6_r5,Bat_1Sources_DrawNo6,Bat-poo-5,0.0097,0.0,0.0,0.9903000000000002,0.0007483314773547,0.0,0.0,0.0007483314773547
2,5,Bat_1Sources_DrawNo6_r5,Bat_1Sources_DrawNo6,Bat-poo-4,0.84565,5e-05,0.0,0.1543,0.000502493781056,0.00015,0.0,0.0005099019513592
3,5,Bat_1Sources_DrawNo6_r5,Bat_1Sources_DrawNo6,Bat-poo-C,0.0481999999999999,0.0,0.0,0.9518,0.0017635192088548,0.0,0.0,0.0017635192088548
0,1,Bat_1Sources_DrawNo7_r1,Bat_1Sources_DrawNo7,Bat-poo-6,0.38055,0.0,0.0,0.61945,0.0049771980069111,0.0,0.0,0.0049771980069111
1,1,Bat_1Sources_DrawNo7_r1,Bat_1Sources_DrawNo7,Bat-poo-5,0.0127,0.0,0.0,0.9873,0.0012688577540449,0.0,0.0,0.0012688577540449
2,1,Bat_1Sources_DrawNo7_r1,Bat_1Sources_DrawNo7,Bat-poo-C,0.0523499999999999,0.0,0.0,0.94765,0.0017613914953808,0.0,0.0,0.0017613914953808
3,1,Bat_1Sources_DrawNo7_r1,Bat_1Sources_DrawNo7,Bat-poo-3,0.9723,5.000000000000001e-05,0.0,0.02765,0.0005099019513592,0.00015,0.0,0.0005937171043518
0,2,Bat_1Sources_DrawNo7_r2,Bat_1Sources_DrawNo7,Bat-poo-6,0.38035,0.0,0.0,0.6196499999999999,0.0057664980707531,0.0,0.0,0.0057664980707531
1,2,Bat_1Sources_DrawNo7_r2,Bat_1Sources_DrawNo7,Bat-poo-5,0.01295,0.0,0.0,0.9870500000000002,0.0009861541461658,0.0,0.0,0.0009861541461658
2,2,Bat_1Sources_DrawNo7_r2,Bat_1Sources_DrawNo7,Bat-poo-C,0.0529,5e-05,0.0,0.9470500000000002,0.0025179356624028,0.00015,0.0,0.0025636887486588
3,2,Bat_1Sources_DrawNo7_r2,Bat_1Sources_DrawNo7,Bat-poo-3,0.9721,0.0,0.0,0.0279,0.0006244997998398,0.0,0.0,0.0006244997998398
0,3,Bat_1Sources_DrawNo7_r3,Bat_1Sources_DrawNo7,Bat-poo-6,0.3793499999999999,0.0,0.0,0.62065,0.0069787176472472,0.0,0.0,0.0069787176472472
1,3,Bat_1Sources_DrawNo7_r3,Bat_1Sources_DrawNo7,Bat-poo-5,0.0126,0.0,0.0,0.9874,0.0008602325267042,0.0,0.0,0.0008602325267042
2,3,Bat_1Sources_DrawNo7_r3,Bat_1Sources_DrawNo7,Bat-poo-C,0.0518499999999999,5e-05,0.0,0.9481,0.0020254629100529,0.00015,0.0,0.0020346989949375
3,3,Bat_1Sources_DrawNo7_r3,Bat_1Sources_DrawNo7,Bat-poo-3,0.97195,0.0,0.0,0.02805,0.0006103277807867,0.0,0.0,0.0006103277807866
0,4,Bat_1Sources_DrawNo7_r4,Bat_1Sources_DrawNo7,Bat-poo-6,0.38135,0.0001,0.0,0.61855,0.0037084363281577,0.0002,0.0,0.0036772952016393
1,4,Bat_1Sources_DrawNo7_r4,Bat_1Sources_DrawNo7,Bat-poo-5,0.0120499999999999,0.0,0.0,0.98795,0.0013865424623862,0.0,0.0,0.0013865424623862
2,4,Bat_1Sources_DrawNo7_r4,Bat_1Sources_DrawNo7,Bat-poo-C,0.0524,0.0,0.0,0.9476,0.0026720778431774,0.0,0.0,0.0026720778431774
3,4,Bat_1Sources_DrawNo7_r4,Bat_1Sources_DrawNo7,Bat-poo-3,0.97195,0.0,0.0,0.02805,0.00065,0.0,0.0,0.00065
0,5,Bat_1Sources_DrawNo7_r5,Bat_1Sources_DrawNo7,Bat-poo-6,0.3829999999999999,0.0,0.0,0.617,0.0080218451742725,0.0,0.0,0.0080218451742725
1,5,Bat_1Sources_DrawNo7_r5,Bat_1Sources_DrawNo7,Bat-poo-5,0.01225,0.0,0.0,0.98775,0.0014534441853748,0.0,0.0,0.0014534441853748
2,5,Bat_1Sources_DrawNo7_r5,Bat_1Sources_DrawNo7,Bat-poo-C,0.05155,0.0,0.0,0.94845,0.0015882380174268,0.0,0.0,0.0015882380174268
3,5,Bat_1Sources_DrawNo7_r5,Bat_1Sources_DrawNo7,Bat-poo-3,0.972,0.0,0.0,0.028,0.0004472135954999,0.0,0.0,0.0004472135954999
0,1,Bat_1Sources_DrawNo8_r1,Bat_1Sources_DrawNo8,Bat-poo-6,0.3751,0.0,0.0,0.6249,0.0063474404290233,0.0,0.0,0.0063474404290233
1,1,Bat_1Sources_DrawNo8_r1,Bat_1Sources_DrawNo8,Bat-poo-5,0.00965,0.0,0.0,0.9903500000000004,0.00055,0.0,0.0,0.00055
2,1,Bat_1Sources_DrawNo8_r1,Bat_1Sources_DrawNo8,Bat-poo-4,0.8454499999999999,5.000000000000001e-05,0.0,0.1545,0.0004153311931458,0.00015,0.0,0.0003872983346207
3,1,Bat_1Sources_DrawNo8_r1,Bat_1Sources_DrawNo8,Bat-poo-C,0.0494499999999999,5e-05,0.0,0.9505,0.0018364367672206,0.00015,0.0,0.0018708286933869
